Tecnología,Modalidad,Año,Flujo_Caja
Diesel,COMPRA,0,-140000.0
Diesel,COMPRA,1,-50895.2
Diesel,COMPRA,2,-52632.06
Diesel,COMPRA,3,-55613.66
Diesel,COMPRA,4,-57492.07
Diesel,COMPRA,5,-27281.91
Diesel,LEASING,0,0.0
Diesel,LEASING,1,-81295.2
Diesel,LEASING,2,-83032.06
Diesel,LEASING,3,-86013.66
Diesel,LEASING,4,-87892.07
Diesel,LEASING,5,-99681.91
Diesel,RENTING,0,0.0
Diesel,RENTING,1,-73532.7
Diesel,RENTING,2,-74982.68
Diesel,RENTING,3,-77471.82
Diesel,RENTING,4,-79039.97
Diesel,RENTING,5,-80116.77
Electrico,COMPRA,0,-400000.0
Electrico,COMPRA,1,80226.2
Electrico,COMPRA,2,-10667.01
Electrico,COMPRA,3,-12200.36
Electrico,COMPRA,4,-13166.38
Electrico,COMPRA,5,61170.3
Electrico,LEASING,0,0.0
Electrico,LEASING,1,13426.2
Electrico,LEASING,2,-77467.01
Electrico,LEASING,3,-79000.36
Electrico,LEASING,4,-79966.38
Electrico,LEASING,5,-105629.7
Electrico,RENTING,0,0.0
Electrico,RENTING,1,-73671.3
Electrico,RENTING,2,-74369.44
Electrico,RENTING,3,-75567.91
Electrico,RENTING,4,-76322.95
Electrico,RENTING,5,-76841.41
